"ENROLLMENT ID","ENROLLMENT STATE","PROVIDER TYPE CODE","PROVIDER TYPE TEXT","NPI","MULTIPLE NPI FLAG","CCN","ASSOCIATE ID","ORGANIZATION NAME","DOING BUSINESS AS NAME","INCORPORATION DATE","INCORPORATION STATE","ORGANIZATION TYPE STRUCTURE","ORGANIZATION OTHER TYPE TEXT","PROPRIETARY_NONPROFIT","ADDRESS LINE 1","ADDRESS LINE 2","CITY","STATE","ZIP CODE","TELEPHONE NUMBER"
O20100830000339,OR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1184887523,N,381862,3173411287,COUNTY OF TILLAMOOK,TILLAMOOK COUNTY HEALTH DEPARTMENT,,,OTHER,COUNTY GOVERNMENT,N,276S HIGHWAY 101,,ROCKAWAY BEACH,OR,971361015,5033552700
O20100830000350,MI,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1982694196,N,231849,0547171514,"COMMUNITY HEALTH AND SOCIAL SERVICES CENTER, INC",,05/26/1993,MI,CORPORATION,,N,5635W FORT ST,,DETROIT,MI,482093154,31384939205022
O20100831000158,OR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1396751772,N,381846,0345233078,UMPQUA COMMUNITY HEALTH CENTER INC,OPEN DOOR CLINIC,11/19/2001,OR,CORPORATION,,N,150 KENNETH FORD DRIVE,,ROSEBURG,OR,974701042,5416729596
O20100831000204,SC,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1568541597,N,421825,8224949821,"SANDHILLS MEDICAL FOUNDATION, INC.",SANDHILLS MEDICAL FOUNDATION - MCBEE,05/30/1977,SC,CORPORATION,,N,645 S SEVENTH ST,,MC BEE,SC,291017101,8433358291
O20100831000209,AL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1710048053,N,011868,8123009057,SOUTHEAST ALABAMA RURAL HEALTH ASSOCIATES,CLAYTON FAMILY HEALTH CENTER,01/01/1984,AL,CORPORATION,,N,7 WESTERN BYP,,CLAYTON,AL,360162013,3347753235
O20100831000298,SC,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1912065467,N,421826,8224949821,"SANDHILLS MEDICAL FOUNDATION, INC.",,05/30/1977,SC,CORPORATION,,N,409 E CHURCH ST,,JEFFERSON,SC,297188701,8433356762
O20100831000708,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1295822658,N,051939,0042120156,VISTA COMMUNITY CLINIC,,11/11/1972,CA,CORPORATION,,N,1000 VALE TERRACE DR,,VISTA,CA,920845218,7606315000
O20100901000142,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1740283845,N,391925,9032027727,"METRO FAMILY PRACTICE, INC.",METRO COMMUNITY HEALTH CENTER,08/02/1999,PA,CORPORATION,,N,1789 S BRADDOCK AVE,STE 410,PITTSBURGH,PA,152181881,4122472310
O20100901000250,IL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1710096482,N,141854,5698840924,"ALIVIO MEDICAL CENTER, INC.",ALIVIO MEDICAL CENTER AT WESTERN,07/30/1991,IL,CORPORATION,,N,2355 S WESTERN AVE,,CHICAGO,IL,606083837,7732541400
O20100901000334,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1629170980,N,391856,1052362662,RURAL HEALTH CORPORATION OF NORTHEASTERN PENNSYLVANIA,MONROE - NOXEN HEALTH CENTER,06/09/1970,PA,CORPORATION,,N,2888 SR 29 S,STE 2,MONROE TOWNSHIP,PA,186367854,5707044647
O20100901000412,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1255376000,N,101865,7214847995,MCR HEALTH INC,EDGAR H PRICE JR CHILDREN & FAMILY HEALTH CARE CENTER,04/11/1978,FL,CORPORATION,,N,12271 US HIGHWAY 301 N,,PARRISH,FL,342198410,9417764050
O20100901000499,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1295810174,N,551841,0840195442,SAN BENITO HEALTH FOUNDATION,,05/20/1975,CA,CORPORATION,,N,351 FELICE DR,,HOLLISTER,CA,950233361,8316375306
O20100901000543,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1992792311,N,101960,0547249518,"NORTHEAST FLORIDA HEALTH SERVICES, INC",FAMILY HEALTH SOURCE MEDICAL CENTERS,09/22/2002,FL,CORPORATION,,N,216 FREDERICK ST,,PIERSON,FL,321803024,3862026025
O20100901000873,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1689600330,N,101868,7214847995,MCR HEALTH INC,EAST MANATEE HEALTH & WELLNESS CENTER,04/11/1978,FL,CORPORATION,,N,1312 MANATEE AVE E,,BRADENTON,FL,342081358,9417088700
O20100901000955,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1295752384,N,051924,1557493723,NORTHERN VALLEY INDIAN HEALTH INC,,10/07/1971,CA,CORPORATION,,N,207N BUTTE ST,,WILLOWS,CA,959882803,53033088001233
O20100902000079,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1871523795,N,101974,7214847995,MCR HEALTH INC,DR. GEORGE VAN BUREN CHILDREN AND FAMILY HEALTHCARE CENTER,04/11/1978,FL,CORPORATION,,N,712 39TH ST W,,BRADENTON,FL,342052454,9417484602
O20100902000134,MN,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1740357169,N,241819,5991869471,MILLE LACS BAND OF OJIBWE INDIANS,NE IA SHING CLINIC,,,OTHER,TRIBAL GOVERNMENT,N,18562 MINOBIMAADIZI LOOP,,ONAMIA,MN,563593001,3205324163
O20100902000326,MD,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1588606305,N,211819,5395644835,CHASE BREXTON HEALTH SERVICES INC,CHASE BREXTON HEALTH CARE,06/01/1989,MD,CORPORATION,,N,1111 N CHARLES ST,,BALTIMORE,MD,212015505,41083720504003
O20100902000362,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1336241694,N,391804,1052362662,RURAL HEALTH CORPORATION OF NORTHEASTERN PENNSYLVANIA,FREELAND HEALTH CENTER,06/19/1970,PA,CORPORATION,,N,404 RIDGE ST,,FREELAND,PA,182241805,5707044232
O20100902000447,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1205938578,N,391813,1052362662,RURAL HEALTH CORPORATION OF NORTHEASTERN PENNSYLVANIA,EXETER TOWNSHIP HEALTH CENTER,06/19/1970,PA,CORPORATION,,N,2795 SULLIVANS TRL,,FALLS,PA,186157949,5707044117
O20100902000486,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1124059753,N,101958,7214847995,MCR HEALTH INC,PALMETTO FAMILY HEALTH CARE CENTER,04/11/1978,FL,CORPORATION,,N,404 7TH ST W,,PALMETTO,FL,342215209,9413374667
O20100902000539,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1790887057,N,391857,1052362662,RURAL HEALTH CORPORATION OF NORTHEASTERN PENNSYLVANIA,SHICKSHINNY HEALTH CENTER,06/09/1970,PA,CORPORATION,,N,26 N MAIN ST,,SHICKSHINNY,PA,186551302,5707044230
O20100902000756,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1841236247,N,101887,7214847995,MCR HEALTH INC,NORTH MANATEE FAMILY HEALTHCARE CENTER,04/11/1978,FL,CORPORATION,,N,5600 BAYSHORE RD,,PALMETTO,FL,342219352,9417212020
O20100902000835,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1467481960,N,101866,7214847995,MCR HEALTH INC,LAWTON CHILES CHILDREN & FAMILY HEALTHCARE CENTER,04/11/1978,FL,CORPORATION,,N,1515 26TH AVE E,,BRADENTON,FL,342087707,9417088600
O20100903000465,TX,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1700192085,N,671949,9931124450,NORTH TEXAS AREA COMMUNITY HEALTH CENTERS INC,SOUTHEAST COMMUNITY HEALTH CENTER,01/28/2002,TX,CORPORATION,,N,2909 MITCHELL BLVD,,FORT WORTH,TX,761054642,8176254254
O20100903000931,DC,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1215257571,N,091837,3476647264,UNITY HEALTH CARE INC.,,12/08/1987,DC,CORPORATION,,N,1660 COLUMBIA RD NW,,WASHINGTON,DC,200093602,2023283717
O20100907000336,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1376565945,N,101895,7214847995,MCR HEALTH INC,SOUTHWEST HEALTH CENTER,04/11/1978,FL,CORPORATION,,N,5325 26TH ST W,,BRADENTON,FL,342073012,9417527173
O20100907000671,AR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1326365776,N,041874,2567370620,ARCARE,ARCARE 22,02/06/1986,AR,CORPORATION,,N,2816 FOX MEADOW LN,,JONESBORO,AR,724049346,8703361676
O20100907001117,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1710124482,N,101053,1951354067,BORINQUEN HEALTH CARE CENTER INC,,07/10/1992,FL,CORPORATION,,N,10528-10530 SW 8TH STREET,,MIAMI,FL,331742602,3055521201
O20100908000006,WV,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1699830752,Y,511833,3870495815,CLAY-BATTELLE HEALTH SERVICES ASSOCIATION,CLAY-BATTELLE COMMUNITY HEALTH CENTER,04/01/1972,WV,CORPORATION,,N,5861 MASON DIXON HWY,,BLACKSVILLE,WV,265218300,3044328211
O20100908000010,WV,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1437214509,N,511838,3870495815,CLAY-BATTELLE HEALTH SERVICES ASSOCIATION,COMMUNITY HEALTH CENTER OF NE WETZEL COUNTY,04/01/1972,WV,CORPORATION,,N,1855 HORNET HWY,,BURTON,WV,265627430,3047754671
O20100908000362,MI,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1134281132,N,231844,5193792067,GRAND TRAVERSE BAND OF OTTAWA AND CHIPPEWA INDIANS,,,,OTHER,FQHC,N,2300 N STALLMAN RD,STE A,SUTTONS BAY,MI,496829158,2315347200
O20100908000602,MO,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1225191752,N,261850,8820902851,CROSS TRAILS MEDICAL CENTER,,05/25/1994,MO,CORPORATION,,N,307 W GABRIEL ST,,ADVANCE,MO,637308301,5737223034
O20100908000867,MD,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1851320147,N,211850,5395644835,CHASE BREXTON HEALTH SERVICES INC,,06/01/1989,MD,CORPORATION,,N,6901 SECURITY BLVD,STE 200,WINDSOR MILL,MD,212442412,4108372050
O20100908001025,IL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1538294483,N,141842,5890696686,HEARTLAND ALLIANCE HEALTH,,01/01/1987,IL,CORPORATION,,N,4009 N BROADWAY ST,,CHICAGO,IL,606132110,7732752586
O20100908001102,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1124078571,N,101854,9931017126,FLORIDA COMMUNITY HEALTH CENTERS INC,CLEWISTON CENTER,06/14/1976,FL,CORPORATION,,N,315 S W C OWEN AVE,,CLEWISTON,FL,334403637,8639837813
O20100908001134,NY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1659654101,N,331837,2668385014,"FAMILY HEALTH NETWORK OF CENTRAL NEW YORK, INC.",CINCINNATUS RURAL HEALTH CENTER CLINIC,05/02/1989,NY,CORPORATION,,N,2805 CINCINNATUS RD,,CINCINNATUS,NY,130409685,6078634126
O20100908001146,OH,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1598719361,N,361880,7517966211,CHRISTIAN COMMUNITY HEALTH SERVICES,CROSSROAD HEALTH CENTER,11/15/1990,OH,CORPORATION,,N,5 E LIBERTY ST,,CINCINNATI,OH,452028202,5133812247
O20100908001150,NC,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1992840003,N,341861,1052389103,"ANSON REGIONAL MEDICAL SERVICES, INC.",,01/31/1992,NC,CORPORATION,,N,203 SALISBURY ST,,WADESBORO,NC,281702155,7046946700223
O20100909000599,KY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1457303802,N,181818,1153311774,"LEWIS COUNTY PRIMARY CARE CENTER, INC",PRIMARYPLUS,05/27/1983,KY,CORPORATION,,N,211 KY 59,BLDG A,VANCEBURG,KY,411797647,6067963029
O20100910000273,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1487724084,N,391810,7012825722,"PRIMARY CARE HEALTH SERVICES, INC.",ALMA ILERY MEDICAL CENTER,03/01/1977,PA,CORPORATION,,N,7227 HAMILTON AVE,,PITTSBURGH,PA,152081814,4122444700
O20100913000469,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1063514453,N,391853,2860430972,BROAD TOP AREA MEDICAL CENTER INC,,03/08/1971,PA,CORPORATION,,N,4133 MEDICAL CENTER DR,,BROAD TOP,PA,166219001,8146352916
O20100913000862,AR,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1699785089,N,041858,0042262495,"ST. FRANCIS HOUSE NWA, INC.",COMMUNITY CLINIC SPRINGDALE MEDICAL,09/30/1996,AR,CORPORATION,,N,614 E EMMA AVE,STE 300,SPRINGDALE,AR,727644469,4797517417
O20100914000458,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1104875095,N,101857,9931017126,FLORIDA COMMUNITY HEALTH CENTERS INC,FORT PIERCE CENTER,06/14/1976,FL,CORPORATION,,N,1505 DELAWARE AVE,,FORT PIERCE,FL,349503975,7724611402
O20100914000709,MO,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1245361344,N,261810,2062554025,"RICHLAND MEDICAL CENTER, INC.",CENTRAL OZARKS MEDICAL CENTER,02/07/1979,MO,CORPORATION,,N,304 W WASHINGTON AVE,,RICHLAND,MO,655567101,5737655131
O20100915001142,TN,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1235401993,N,441935,0042100091,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC",DICKERSON PIKE FAMILY CLINIC,05/31/1978,TN,CORPORATION,,N,1223 DICKERSON PIKE,,NASHVILLE,TN,372075408,6159834150
O20100916000253,MO,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1518095470,N,261861,5991618837,BETTY JEAN KERR PEOPLES HEALTH CENTERS,,08/07/1974,MO,CORPORATION,,N,11642 W FLORISSANT AVE,,FLORISSANT,MO,630336723,3148388220
O20100916000350,IA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1558355305,N,161802,9931099546,SIOUXLAND COMMUNITY HEALTH CENTER,,,,OTHER,FQHC,N,1021 NEBRASKA ST,,SIOUX CITY,IA,511051436,7122522477
O20100916000433,TN,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1275567588,Y,441936,0042100091,"UNITED NEIGHBORHOOD HEALTH SERVICES, INC",WELSHWOOD CLINIC,05/31/1978,TN,CORPORATION,,N,419 WELSHWOOD DR,,NASHVILLE,TN,372114206,6152273000
O20100916000529,ID,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1386757235,N,131808,4082527353,COMMUNITY HEALTH CLINICS INC,TERRY REILLY HEALTH SERVICES,09/16/1971,ID,CORPORATION,,N,108 E IDAHO AVE,,HOMEDALE,ID,836285003,2083373189
O20100916000640,MS,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1427377266,N,251004,4183533235,"CENTRAL MISSISSIPPI CIVIC IMPROVEMENT ASSOCIATION, INC",JACKSON-HINDS COMPREHENSIVE HEALTH CENTER,,,OTHER,NON-PROFIT,P,350 WOODROW WILSON BLVD,ACKSON HINDS COMPREHENSIVE HEALTH CENTER,JACKSON,MS,392134454,6013625321
O20100916000693,KY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1104055805,N,181881,1951211218,"BIG SANDY HEALTH CARE, INC",MARTIN COUNTY COMMUNITY HEALTH CENTER,11/20/1974,KY,CORPORATION,,N,6500 HIGHWAY 645,SUITE 110,INEZ,KY,412242044,6062983412
O20100916001003,WI,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1780745034,N,011840,4880726850,SOUTHEAST ALABAMA RURAL HEALTH ASSOCIATES,NEWTON FAMILY HEALTH CENTER,04/16/1984,AL,CORPORATION,,N,193 OATES DR,,NEWTON,AL,363524312,3342993592
O20100916001345,MS,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1144227901,N,251832,1153230560,AARON E HENRY COMMUNITY HEALTH,,04/27/1979,MS,CORPORATION,,N,800 OHIO AVE,,CLARKSDALE,MS,386147200,6626244292
O20100917000569,KY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1326080110,N,181805,1951211218,"BIG SANDY HEALTH CARE, INC",HOPE FAMILY MEDICAL CENTER,11/20/1974,KY,CORPORATION,,N,940 PARKWAY DR,,SALYERSVILLE,KY,414659251,6063495126
O20100917000693,KY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1700828597,N,181828,1951211218,"BIG SANDY HEALTH CARE, INC",SHELBY VALLEY CLINIC,11/20/1974,KY,CORPORATION,,N,178 DOUGLAS PARKWAY,,PIKEVILLE,KY,415016970,6066393135
O20100920000560,MO,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1912904004,N,261881,3072423052,"DOUGLAS COUNTY PUBLIC HEALTH SERVICES GROUP, INC.",MISSOURI OZARKS COMMUNITY HEALTH,04/09/1996,MO,CORPORATION,,N,804N HIGHWAY 5,,MANSFIELD,MO,657047301,4179248809
O20100920000739,NJ,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1669791869,N,311846,0143291674,"MONMOUTH FAMILY HEALTH CENTER, INC",,,,CORPORATION,,N,80 PAVILION AVE,,LONG BRANCH,NJ,077406413,7329630114
O20100921000990,NJ,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1073558391,N,311845,0143291674,"MONMOUTH FAMILY HEALTH CENTER, INC",,04/01/2004,NJ,CORPORATION,,N,270 BROADWAY,,LONG BRANCH,NJ,077407027,7329237100
O20100921001207,WI,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1265435960,N,521810,0941195168,"KENOSHA COMMUNITY HEALTH CENTER, INC.",,05/20/1994,WI,CORPORATION,,N,4536 22ND AVE,,KENOSHA,WI,531405917,2626560044
O20100922000154,NY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1598707812,N,331857,5496746927,"OAK ORCHARD COMMUNITY HEALTH CENTER, INC.",OAK ORCHARD HEALTH,07/21/1973,NY,CORPORATION,,N,300 WEST AVE,,BROCKPORT,NY,144201118,5856373905
O20100922000221,OK,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1265415806,N,371801,4688584436,"COMMUNITY HEALTH CENTERS, INC.",MARY MAHONEY MEMORIAL HEALTH CENTER,04/06/1972,OK,CORPORATION,,N,12716 NE 36TH ST,,SPENCER,OK,730849167,4057693301
O20100922000238,WA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1336219088,N,501854,9638063217,COMMUNITY HEALTH ASSOCIATION OF SPOKANE,,09/08/1994,WA,CORPORATION,,N,15812 E INDIANA AVE,,SPOKANE VALLEY,WA,992161875,5094448200
O20100922000417,WA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1003994252,N,501856,9638063217,COMMUNITY HEALTH ASSOCIATION OF SPOKANE,,09/08/1994,WA,CORPORATION,,N,5921 N MARKET ST,,SPOKANE,WA,992082484,5094448200
O20100922000431,TN,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1114973237,N,441934,6305819483,RUTHERFORD COUNTY PRIMARY CARE,PRIMARY CARE & HOPE CLINIC,05/01/1992,TN,CORPORATION,,N,1453 HOPE WAY,,MURFREESBORO,TN,371293140,6158939390
O20100923000626,FL,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1275647752,N,101970,9931177334,"CITRUS HEALTH NETWORK, INC.",,10/02/1978,FL,CORPORATION,,N,4175W 20TH AVE,,HIALEAH,FL,330125874,3054243120
O20100924000253,NM,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1215037379,N,321857,9234032939,LA CASA DE BUENA SALUD INC,LA CASA FAMILY HEALTH CENTER,03/01/1974,NM,CORPORATION,,N,1511 S GRAND AVE,,ROSWELL,NM,882035407,5756233255
O20100924001161,NY,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1467486449,N,331816,8628194842,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC,BORIKEN NEIGHBORHOOD HEALTH CENTER,04/22/1965,NY,CORPORATION,,N,2265 3RD AVE,,NEW YORK,NY,100352231,2122896550
O20100927000582,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1073827242,N,551047,0244271021,ASIAN HEALTH SERVICES,,12/11/1973,CA,CORPORATION,,N,817 HARRISON ST,,OAKLAND,CA,946074422,5109866855
O20100927000663,WV,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1083694756,N,511805,9931017969,"VALLEY HEALTH SYSTEMS, INC",VALLEY HEALTH FORT GAY,06/01/1993,WV,CORPORATION,,N,71 WAYNE ST,,FORT GAY,WV,255148518,3046485544
O20100927000795,TN,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1215045976,N,441894,2769394774,EAST TENNESSEE STATE UNIVERSITY,HANCOCK COUNTY MIDDLE/HIGH SCHOOL BASED HEALTH CENTER,,,OTHER,GOVT-STATE UNIVERSITY,N,2700 MAIN ST,,SNEEDVILLE,TN,378693041,4237332121
O20100927000948,NE,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1942513494,N,281816,3173435153,ONEWORLD COMMUNITY HEALTH CENTERS INC,SPRING LAKE ELEMENTARY SCHOOL,02/20/1973,NE,CORPORATION,,N,4215 S 20TH ST,,OMAHA,NE,681072018,4029327014
O20100927001143,ME,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1952482804,N,201827,3274502000,DFD RUSSELL MEDICAL CENTER INC,,10/16/1979,ME,CORPORATION,,N,180 CHURCH HILL RD,STE 1,LEEDS,ME,042633418,2075243501
O20100927001243,CA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1942387188,N,551864,1658349824,BAY AREA COMMUNITY HEALTH,BAY AREA COMMUNITY HEALTH- LIBERTY CLINIC,06/01/2020,CA,CORPORATION,,N,39500 LIBERTY ST,,FREMONT,CA,945382211,5107708133
O20100928000553,VT,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1003803297,N,471811,7012825631,"THE RICHFORD HEALTH CENTER, INC.",SWANTON HEALTH CENTER,08/11/1993,VT,CORPORATION,,N,26 CANADA ST,,SWANTON,VT,054881335,8028682454
O20100928000661,NM,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1154352532,N,321805,7517878796,BEN ARCHER HEALTH CENTER,,03/29/1973,NM,CORPORATION,,N,255 HIGHWAY 187,,HATCH,NM,87937,5752673280
O20100928000970,NM,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1285646455,N,321822,2062324684,PRESBYTERIAN MEDICAL SERVICES,FARMINGTON COMMUNITY HEALTH CENTER,08/01/1969,NM,CORPORATION,,N,1001 W BROADWAY,STE D&E,FARMINGTON,NM,874015638,5053274796
O20100928001110,NE,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1063725554,N,281815,3173435153,ONEWORLD COMMUNITY HEALTH CENTERS INC,INDIAN HILL ELEMENTARY SCHOOL BASED HEALTH CENTER,02/20/1973,NE,OTHER,501C3,N,3121 U ST,,OMAHA,NE,681073378,4029334968
O20100928001309,NE,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1164735759,N,281814,3173435153,ONEWORLD COMMUNITY HEALTH CENTERS INC,LIBERTY ELEMENTARY SCHOOL BASED CLINIC,02/20/1973,NE,OTHER,501C3,N,2021 ST MARYS AVE,,OMAHA,NE,681022415,4025058180
O20100929000108,PA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1881629012,N,391883,0840242467,SPECTRUM HEALTH SERVICES INC,,09/01/1983,PA,CORPORATION,,P,1415 N BROAD ST,STE 224,PHILADELPHIA,PA,191223325,2154712761
O20100929000273,WV,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1942274543,N,511852,6204821879,LINCOLN COUNTY PRIMARY CARE CENTER INC,,06/30/1975,WV,CORPORATION,,N,7400 LYNN AVE,,HAMLIN,WV,255231138,3048245806
O20100929000736,NM,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1225346547,N,321910,3971584509,PUEBLO OF JEMEZ,FQHC CENTER,,,OTHER,COMPACTED TRIBAL FACILITY,N,110 SHEEP SPRINGS WAY,,JEMEZ PUEBLO,NM,870240000,5758343018
O20100929000743,NM,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1598797805,N,321801,9638148018,LA CLINICA DEL PUEBLO DE RIO ARRIBA,,09/01/1970,NM,CORPORATION,,N,US HWY 84 COUNTY ROAD 0324,#14,TIERRA AMARILLA,NM,875750250,5755887252
O20100929001648,GA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1174641658,N,111881,6901700723,"SOUTHSIDE MEDICAL CENTER, INC.",,12/17/1970,GA,CORPORATION,,N,1100 CLEVELAND AVE,,ATLANTA,GA,303443602,4046271385
O20101004000497,WA,00-04,PART A PROVIDER - FEDERALLY QUALIFIED HEALTH CENTER (FQHC),1235265455,N,501894,4385541986,YAKIMA VALLEY FARM WORKERS CLINIC,MIRAMAR HEALTH CENTER,02/28/1978,WA,CORPORATION,,N,1608 N ROAD 44,,PASCO,WA,993012667,5095439280
